kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
新聞碁				しんぶんご		n	(go terminology)
侵略				しんりゃく		n	(go terminology)
図				ず		n	(go terminology)
筋				すじ		n	(go terminology)
筋悪				すじわる		n	(go terminology)
裾空き	スソ空き	スソあき	スソアキ	すそあき		n	(go terminology)
裾ガカリ	スソガカリ			すそがかり		n	(go terminology)
スソ払い				すそばらい		n	(go terminology)
捨て石				すていし		n	(go terminology)
捨てる				すてる		v	(go terminology)
滑り	スベリ			すべり		n	(go terminology)
滑る	スベる			すべる		v	(go terminology)
隅	スミ			すみ		n	(go terminology)
隅の曲がり四目	隅のマガリ四目			すみのまがりしもく		n	(go terminology)
正解				せいかい		n	(go terminology)
成功				せいこう		n	(go terminology)
井目				せいもく		n	(go terminology)
井目風鈴				せいもくふうりん		n	(go terminology)
勢力				せいりょく		n	(go terminology)
セキ				せき		n	(go terminology)
セキ生き				せきいき		n	(go terminology)
石塔絞り	石塔シボリ			せきとうしぼり		n	(go terminology)
切断				せつだん		n	cutting
攻め				せめ		n	(go terminology)
攻め合い	セメアイ			せめあい		n	(go terminology)
攻め取り	セメドリ			せめどり		n	semedori
攻める				せめる		v	(go terminology)
戦				せん		n	(go terminology)
線				せん		n	(go terminology)
先相先				せんあいせん		n	(go terminology)
全局				ぜんきょく		n	(go terminology)
先生				せんせい		n	(go terminology)
先手				せんて		n	(go terminology)
先二				せんに		n	(go terminology)
全滅				ぜんめつ		n	(go terminology)
相場				そうば		n	reasonable, par
俗				ぞく		n	(go terminology)
俗手				ぞくしゅ		n	(go terminology)
俗筋				ぞくすじ		n	(go terminology)
側面				そくめん		n	(go terminology)
外				そと		n	(go terminology)
外側				そとがわ		n	(go terminology)
外ダメ				そとだめ		n	(go terminology)
外ヅケ				そとづけ		n	(go terminology)
外マガリ				そとまがり		n	(go terminology)
側劫	ソバ劫	ソバコウ		そばこう		n	(go terminology)
損				そん		n	(go terminology)
対局				たいきょく		n	(go terminology)
対策				たいさく		n	(go terminology)
大斜				たいしゃ		n	(go terminology)
大石				たいせき		n	(go terminology)
大々ゲイマ				だいだいげいま		n	(go terminology)
大々ゲイマガカケ	大々ゲイマガガケ			だいだいげいまがかけ		n	(go terminology)
大々ゲイマガカリ				だいだいげいまがかり		n	(go terminology)
大々ゲイマスベリ				だいだいげいますべり		n	(go terminology)
大々ゲイマビラキ				だいだいげいまびらき		n	(go terminology)
高い				たかい		adj-i	(go terminology)
互先				たがいせん		n	(go terminology)
高ガカリ				たかがかり		n	(go terminology)
高ゲイマジマリ				たかげいまじまり		n	(go terminology)
高目				たかもく		n	(go terminology)
巧み				たくみ		n	(go terminology)
竹節	タケフ			たけふ		n	(go terminology)
出し	ダシ			だし		n	(go terminology)
襷型	タスキ型			たすきがた		n	(go terminology)
襷布石	タスキ布石			たすきふせき		n	diagonal fuseki
戦い				たたかい		n	(go terminology)
戦う				たたかう		v	(go terminology)
正しい				ただしい		adj-i	(go terminology)
立ち				たち		n	(go terminology)
脱出				だっしゅつ		n	(go terminology)
狸の腹鼓	狸の腹つづみ			たぬきのはらつづみ		n	(go terminology)
種石	タネ石			たねいし		n	(go terminology)
騙し手	だまし手			だまして		n	(go terminology)
駄目	ダメ			だめ		n	(go terminology)
駄目詰まり	駄目ヅマリ	ダメ詰まり	ダメヅマリ	だめづまり		n	(go terminology)
ダメヅメ				だめづめ		n	(go terminology)
段				だん		n	(go terminology)
団子	ダンゴ			だんご		n	(go terminology)
団体戦				だんたいせん		n	team competition
小さい				ちいさい		adj-i	(go terminology)
チギリ				ちぎり		n	(go terminology)
チキリトビ				ちきりとび		n	(go terminology)
縮める				ちじめる		v	(go terminology)
中央				ちゅうおう		n	(go terminology)
中押勝	中押勝ち			ちゅうおしがち		n	winning by opponent's resignation
中国流				ちゅうごくりゅう		n	Chinese opening
中国流布石				ちゅうごくりゅうふせき		n	Chinese opening
中盤				ちゅうばん		n	(go terminology)
中盤戦				ちゅうばんせん		n	(go terminology)
中部総本部				ちゅうぶそうほんぶ		n	Chubu general headquarters (Nihon Ki-in Nagoya branch)
調子				ちょうし		n	(go terminology)
長生				ちょうせい		n	(go terminology)
挑戦				ちょうせん		n	(go terminology)
挑戦権				ちょうせんけん		n	right to challenge for a title
挑戦者				ちょうせんしゃ		n	(go terminology)
挑戦手合				ちょうせんてあい		n	(go terminology)
